Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
United States of America,Region of the Americas of WHO,North America,2018,25,2018/6/18,2018/6/24,8715,8715,0,1,3,,49,53,6,3,38,47,100,8614,No Report
United States of America,Region of the Americas of WHO,North America,2018,26,2018/6/25,2018/7/1,7920,7920,0,2,6,,57,65,1,0,29,30,95,7825,No Report
United States of America,Region of the Americas of WHO,North America,2018,27,2018/7/2,2018/7/8,7010,7010,0,9,5,,44,58,6,0,26,32,90,6920,No Report
United States of America,Region of the Americas of WHO,North America,2018,28,2018/7/9,2018/7/15,7162,7162,0,8,9,,51,68,3,2,14,19,87,7075,No Report
United States of America,Region of the Americas of WHO,North America,2018,29,2018/7/16,2018/7/22,7009,7009,0,15,5,,57,77,4,2,18,24,101,6908,No Report
United States of America,Region of the Americas of WHO,North America,2018,30,2018/7/23,2018/7/29,6976,6976,0,9,3,,52,64,0,2,19,21,85,6891,No Report
United States of America,Region of the Americas of WHO,North America,2018,31,2018/7/30,2018/8/5,6477,6477,0,7,10,,46,63,1,0,17,18,81,6396,No Report
United States of America,Region of the Americas of WHO,North America,2018,32,2018/8/6,2018/8/12,6954,6954,0,6,8,,48,62,2,0,23,25,87,6867,No Report
United States of America,Region of the Americas of WHO,North America,2018,33,2018/8/13,2018/8/19,7246,7246,0,5,9,,42,56,2,0,19,21,77,7169,No Report
United States of America,Region of the Americas of WHO,North America,2018,34,2018/8/20,2018/8/26,8042,8042,0,17,20,,83,120,1,0,28,29,149,7893,No Report
United States of America,Region of the Americas of WHO,North America,2018,35,2018/8/27,2018/9/2,8970,8970,0,10,6,,98,114,2,0,33,35,149,8821,No Report
United States of America,Region of the Americas of WHO,North America,2018,36,2018/9/3,2018/9/9,10137,10137,0,17,17,,119,153,1,0,53,54,207,9930,No Report
United States of America,Region of the Americas of WHO,North America,2018,37,2018/9/10,2018/9/16,12476,12476,0,29,14,,155,198,5,1,48,54,252,12224,No Report
United States of America,Region of the Americas of WHO,North America,2018,38,2018/9/17,2018/9/23,13717,13717,0,22,17,,160,199,2,1,68,71,270,13447,No Report
United States of America,Region of the Americas of WHO,North America,2018,39,2018/9/24,2018/9/30,15324,15324,0,20,13,,169,202,3,0,52,55,257,15067,No Report
United States of America,Region of the Americas of WHO,North America,2018,40,2018/10/1,2018/10/7,17330,17330,0,29,11,,226,266,11,7,71,89,355,16975,No Report
United States of America,Region of the Americas of WHO,North America,2018,41,2018/10/8,2018/10/14,18954,18954,0,52,11,,231,294,5,3,88,96,390,18564,No Report
United States of America,Region of the Americas of WHO,North America,2018,42,2018/10/15,2018/10/21,21301,21301,0,52,22,,324,398,14,2,90,106,504,20797,No Report
United States of America,Region of the Americas of WHO,North America,2018,43,2018/10/22,2018/10/28,22528,22528,0,76,35,,343,454,13,0,104,117,571,21957,No Report
United States of America,Region of the Americas of WHO,North America,2018,44,2018/10/29,2018/11/4,23695,23695,0,84,23,,393,500,8,1,100,109,609,23086,No Report
United States of America,Region of the Americas of WHO,North America,2018,45,2018/11/5,2018/11/11,24855,24855,0,117,27,,561,705,7,4,103,114,819,24036,No Report
United States of America,Region of the Americas of WHO,North America,2018,46,2018/11/12,2018/11/18,25902,25902,0,148,41,,680,869,3,2,104,109,978,24924,No Report
United States of America,Region of the Americas of WHO,North America,2018,47,2018/11/19,2018/11/25,25858,25858,0,215,54,,907,1176,5,2,77,84,1260,24598,No Report
United States of America,Region of the Americas of WHO,North America,2018,48,2018/11/26,2018/12/2,29989,29989,0,326,64,,1013,1403,10,2,107,119,1522,28467,No Report
United States of America,Region of the Americas of WHO,North America,2018,49,2018/12/3,2018/12/9,30761,30761,0,361,90,,1674,2125,7,3,159,169,2294,28467,No Report
United States of America,Region of the Americas of WHO,North America,2018,50,2018/12/10,2018/12/16,35316,35316,0,674,166,,3262,4102,6,7,197,210,4312,31004,No Report
United States of America,Region of the Americas of WHO,North America,2018,51,2018/12/17,2018/12/23,41051,41051,0,1115,248,,5367,6730,8,20,201,229,6959,34092,No Report
United States of America,Region of the Americas of WHO,North America,2018,52,2018/12/24,2018/12/30,45896,45896,0,1243,274,,6962,8479,9,19,248,276,8755,37141,No Report
United States of America,Region of the Americas of WHO,North America,2019,1,2018/12/31,2019/1/6,47278,47278,0,1182,305,,5400,6887,17,6,158,181,7068,40210,No Report
United States of America,Region of the Americas of WHO,North America,2019,2,2019/1/7,2019/1/13,44838,44838,0,1429,233,,5175,6837,20,4,230,254,7091,37747,No Report
United States of America,Region of the Americas of WHO,North America,2019,3,2019/1/14,2019/1/20,45296,45296,0,1475,366,,6783,8624,16,17,195,228,8852,36444,No Report
United States of America,Region of the Americas of WHO,North America,2019,4,2019/1/21,2019/1/27,47652,47652,0,1546,511,,8426,10483,9,17,262,288,10771,36881,No Report
United States of America,Region of the Americas of WHO,North America,2019,5,2019/1/28,2019/2/3,52704,52704,0,1678,806,,10732,13216,18,24,300,342,13558,39146,No Report
United States of America,Region of the Americas of WHO,North America,2019,6,2019/2/4,2019/2/10,58794,58794,0,1878,1202,,13197,16277,11,18,446,475,16752,42040,No Report
United States of America,Region of the Americas of WHO,North America,2019,7,2019/2/11,2019/2/17,57876,57876,0,1703,1305,,13375,16383,18,29,532,579,16962,40913,No Report
United States of America,Region of the Americas of WHO,North America,2019,8,2019/2/18,2019/2/24,58689,58689,0,1480,1501,,13759,16740,12,28,532,572,17312,41377,No Report
United States of America,Region of the Americas of WHO,North America,2019,9,2019/2/25,2019/3/3,58082,58082,0,1377,1785,,13498,16660,10,34,474,518,17178,40904,No Report
United States of America,Region of the Americas of WHO,North America,2019,10,2019/3/4,2019/3/10,57990,57990,0,1292,1829,,13258,16379,27,42,491,560,16939,41051,No Report
United States of America,Region of the Americas of WHO,North America,2019,11,2019/3/11,2019/3/17,57812,57812,0,1052,1828,,13412,16292,31,56,611,698,16990,40822,No Report
United States of America,Region of the Americas of WHO,North America,2019,12,2019/3/18,2019/3/24,52500,52500,0,745,1402,,10349,12496,19,50,689,758,13254,39246,No Report
United States of America,Region of the Americas of WHO,North America,2019,13,2019/3/25,2019/3/31,45764,45764,0,472,1110,,7695,9277,25,66,698,789,10066,35698,No Report
United States of America,Region of the Americas of WHO,North America,2019,14,2019/4/1,2019/4/7,39287,39287,0,336,889,,4904,6129,20,70,684,774,6903,32384,No Report
United States of America,Region of the Americas of WHO,North America,2019,15,2019/4/8,2019/4/14,33751,33751,0,217,660,,3210,4087,18,58,638,714,4801,28950,No Report
United States of America,Region of the Americas of WHO,North America,2019,16,2019/4/15,2019/4/21,29429,29429,0,130,354,,1898,2382,19,50,536,605,2987,26442,No Report
United States of America,Region of the Americas of WHO,North America,2019,17,2019/4/22,2019/4/28,25890,25890,0,87,218,,1032,1337,14,39,475,528,1865,24025,No Report
United States of America,Region of the Americas of WHO,North America,2019,18,2019/4/29,2019/5/5,21148,21148,0,65,158,,640,863,11,40,345,396,1259,19889,No Report
United States of America,Region of the Americas of WHO,North America,2019,19,2019/5/6,2019/5/12,18525,18525,0,45,94,,418,557,9,41,297,347,904,17621,No Report
United States of America,Region of the Americas of WHO,North America,2019,20,2019/5/13,2019/5/19,17777,17777,0,43,82,,336,461,7,40,279,326,787,16990,No Report
United States of America,Region of the Americas of WHO,North America,2019,21,2019/5/20,2019/5/26,16180,16180,0,29,67,,280,376,3,27,261,291,667,15513,No Report
United States of America,Region of the Americas of WHO,North America,2019,22,2019/5/27,2019/6/2,14912,14912,0,23,55,,216,294,11,25,249,285,579,14333,No Report
United States of America,Region of the Americas of WHO,North America,2019,23,2019/6/3,2019/6/9,13102,13102,0,26,54,,147,227,1,32,226,259,486,12616,No Report
United States of America,Region of the Americas of WHO,North America,2019,24,2019/6/10,2019/6/16,11817,11817,0,21,57,,136,214,2,19,140,161,375,11442,No Report
United States of America,Region of the Americas of WHO,North America,2019,25,2019/6/17,2019/6/23,10843,10843,0,19,52,,111,182,0,13,99,112,294,10549,No Report
United States of America,Region of the Americas of WHO,North America,2019,26,2019/6/24,2019/6/30,9513,9513,0,21,48,,95,164,3,12,100,115,279,9234,No Report
United States of America,Region of the Americas of WHO,North America,2019,27,2019/7/1,2019/7/7,9212,9212,0,29,41,,132,202,1,13,89,103,305,8907,No Report
United States of America,Region of the Americas of WHO,North America,2019,28,2019/7/8,2019/7/14,9474,9474,0,10,42,,103,155,1,9,83,93,248,9226,No Report
United States of America,Region of the Americas of WHO,North America,2019,29,2019/7/15,2019/7/21,8662,8662,0,12,55,,109,176,0,10,81,91,267,8395,No Report
United States of America,Region of the Americas of WHO,North America,2019,30,2019/7/22,2019/7/28,8245,8245,0,19,29,,106,154,0,11,88,99,253,7992,No Report
United States of America,Region of the Americas of WHO,North America,2019,31,2019/7/29,2019/8/4,8213,8213,0,14,30,,106,150,2,10,86,98,248,7965,No Report
United States of America,Region of the Americas of WHO,North America,2019,32,2019/8/5,2019/8/11,8374,8374,0,7,33,,79,119,0,16,88,104,223,8151,No Report
United States of America,Region of the Americas of WHO,North America,2019,33,2019/8/12,2019/8/18,8647,8647,0,20,34,,81,135,0,38,94,132,267,8380,No Report
United States of America,Region of the Americas of WHO,North America,2019,34,2019/8/19,2019/8/25,9244,9244,0,19,38,,95,152,0,32,118,150,302,8942,No Report
United States of America,Region of the Americas of WHO,North America,2019,35,2019/8/26,2019/9/1,10870,10870,0,14,34,,146,194,0,29,226,255,449,10421,No Report
United States of America,Region of the Americas of WHO,North America,2019,36,2019/9/2,2019/9/8,12268,12268,0,16,54,,145,215,1,29,231,261,476,11792,No Report
United States of America,Region of the Americas of WHO,North America,2019,37,2019/9/9,2019/9/15,13954,13954,0,12,69,,166,247,2,44,182,228,475,13479,No Report
United States of America,Region of the Americas of WHO,North America,2019,38,2019/9/16,2019/9/22,15837,15837,0,27,59,,171,257,0,46,258,304,561,15276,No Report
United States of America,Region of the Americas of WHO,North America,2019,39,2019/9/23,2019/9/29,18142,18142,0,18,60,,171,249,0,49,329,378,627,17515,No Report
United States of America,Region of the Americas of WHO,North America,2019,40,2019/9/30,2019/10/6,20838,20838,0,25,57,,157,239,1,56,131,188,427,20411,No Report
United States of America,Region of the Americas of WHO,North America,2019,41,2019/10/7,2019/10/13,23213,23213,0,33,64,,168,265,2,70,188,260,525,22688,No Report
United States of America,Region of the Americas of WHO,North America,2019,42,2019/10/14,2019/10/20,24387,24387,0,36,82,,196,314,3,77,200,280,594,23793,No Report
United States of America,Region of the Americas of WHO,North America,2019,43,2019/10/21,2019/10/27,26123,26123,0,53,78,,249,380,5,96,374,475,855,25268,No Report
United States of America,Region of the Americas of WHO,North America,2019,44,2019/10/28,2019/11/3,27014,27014,0,52,61,,304,417,5,120,595,720,1137,25877,No Report
United States of America,Region of the Americas of WHO,North America,2019,45,2019/11/4,2019/11/10,31189,31189,0,122,74,,619,815,10,234,1149,1393,2208,28981,No Report
United States of America,Region of the Americas of WHO,North America,2019,46,2019/11/11,2019/11/17,33647,33647,0,149,58,,681,888,10,330,1678,2018,2906,30741,No Report
United States of America,Region of the Americas of WHO,North America,2019,47,2019/11/18,2019/11/24,39305,39305,0,258,78,,1076,1412,10,423,2754,3187,4599,34706,No Report
United States of America,Region of the Americas of WHO,North America,2019,48,2019/11/25,2019/12/1,37757,37757,0,369,83,,1171,1623,10,500,2934,3444,5067,32690,No Report
United States of America,Region of the Americas of WHO,North America,2019,49,2019/12/2,2019/12/8,45188,45188,0,513,83,,1512,2108,14,657,3656,4327,6435,38753,No Report
United States of America,Region of the Americas of WHO,North America,2019,50,2019/12/9,2019/12/15,48415,48415,0,620,78,,2199,2897,15,807,5408,6230,9127,39288,No Report
United States of America,Region of the Americas of WHO,North America,2019,51,2019/12/16,2019/12/22,58494,58494,0,915,52,,3749,4716,16,1110,8855,9981,14697,43797,No Report
United States of America,Region of the Americas of WHO,North America,2019,52,2019/12/23,2019/12/29,68238,68238,0,1210,88,,6007,7305,24,1326,11612,12962,20267,47971,No Report
United States of America,Region of the Americas of WHO,North America,2020,1,2019/12/30,2020/1/5,69417,69417,,1262,101,,5690,7053,23,1275,9853,11151,18204,51213,No Report
United States of America,Region of the Americas of WHO,North America,2020,2,2020/1/6,2020/1/12,65248,65248,,1338,86,,6143,7567,20,1145,8151,9316,16883,48365,No Report
United States of America,Region of the Americas of WHO,North America,2020,3,2020/1/13,2020/1/19,65248,65248,,1598,73,,7768,9439,12,1244,8272,9528,18967,46281,No Report
United States of America,Region of the Americas of WHO,North America,2020,4,2020/1/20,2020/1/26,69503,69503,,1769,79,,9515,11363,8,1137,9020,10165,21528,47975,No Report
United States of America,Region of the Americas of WHO,North America,2020,5,2020/1/27,2020/2/2,78337,78337,,2359,92,,12152,14603,8,1069,9980,11057,25660,52677,No Report
United States of America,Region of the Americas of WHO,North America,2020,6,2020/2/3,2020/2/9,77514,77514,,2346,91,,13024,15461,5,871,9075,9951,25412,52102,No Report
United States of America,Region of the Americas of WHO,North America,2020,7,2020/2/10,2020/2/16,74285,74285,,2048,65,,13501,15614,10,744,7460,8214,23828,50457,No Report
United States of America,Region of the Americas of WHO,North America,2020,8,2020/2/17,2020/2/23,69556,69556,,1752,76,,12833,14661,9,564,5924,6497,21158,48398,No Report
United States of America,Region of the Americas of WHO,North America,2020,9,2020/2/24,2020/3/1,66390,66390,,1662,63,,11763,13488,8,454,4503,4965,18453,47937,No Report
United States of America,Region of the Americas of WHO,North America,2020,10,2020/3/2,2020/3/8,68289,68289,,1601,73,,11115,12789,8,352,3508,3868,16657,51632,No Report
United States of America,Region of the Americas of WHO,North America,2020,11,2020/3/9,2020/3/15,78010,78010,,1136,74,,9127,10337,3,197,2775,2975,13312,64698,No Report
United States of America,Region of the Americas of WHO,North America,2020,12,2020/3/16,2020/3/22,75949,75949,,444,30,,4154,4628,1,77,1397,1475,6103,69846,No Report
United States of America,Region of the Americas of WHO,North America,2020,13,2020/3/23,2020/3/29,46900,46900,,100,7,,767,874,2,20,314,336,1210,45690,No Report
United States of America,Region of the Americas of WHO,North America,2020,14,2020/3/30,2020/4/5,32310,32310,,37,1,,200,238,0,5,129,134,372,31938,No Report
United States of America,Region of the Americas of WHO,North America,2020,15,2020/4/6,2020/4/12,20593,20593,,28,0,,78,106,0,0,50,50,156,20437,No Report
United States of America,Region of the Americas of WHO,North America,2020,16,2020/4/13,2020/4/19,15327,15327,,19,0,,58,77,0,2,35,37,114,15213,No Report
United States of America,Region of the Americas of WHO,North America,2020,17,2020/4/20,2020/4/26,13640,13640,,26,0,,20,46,0,0,12,12,58,13582,No Report
United States of America,Region of the Americas of WHO,North America,2020,18,2020/4/27,2020/5/3,11010,11010,,23,0,,20,43,0,1,10,11,54,10956,No Report
United States of America,Region of the Americas of WHO,North America,2020,19,2020/5/4,2020/5/10,9550,9550,,26,1,,14,41,0,0,17,17,58,9492,No Report
United States of America,Region of the Americas of WHO,North America,2020,20,2020/5/11,2020/5/17,8526,8526,,24,0,,14,38,0,0,13,13,51,8475,No Report
United States of America,Region of the Americas of WHO,North America,2020,21,2020/5/18,2020/5/24,8076,8076,,0,0,,9,9,0,0,8,8,17,8059,No Report
United States of America,Region of the Americas of WHO,North America,2020,22,2020/5/25,2020/5/31,6583,6583,,2,0,,8,10,0,0,4,4,14,6569,No Report
United States of America,Region of the Americas of WHO,North America,2020,23,2020/6/1,2020/6/7,6540,6540,,0,0,,9,9,0,0,14,14,23,6517,No Report
United States of America,Region of the Americas of WHO,North America,2020,24,2020/6/8,2020/6/14,6065,6065,,1,0,,9,10,0,1,11,12,22,6043,No Report
United States of America,Region of the Americas of WHO,North America,2020,25,2020/6/15,2020/6/21,5645,5645,,0,0,,12,12,0,0,8,8,20,5625,No Report
United States of America,Region of the Americas of WHO,North America,2020,26,2020/6/22,2020/6/28,5875,5875,,0,0,,12,12,0,0,7,7,19,5856,No Report
United States of America,Region of the Americas of WHO,North America,2020,27,2020/6/29,2020/7/5,6378,6378,,0,0,,9,9,0,0,5,5,14,6364,No Report
United States of America,Region of the Americas of WHO,North America,2020,28,2020/7/6,2020/7/12,6503,6503,,0,0,,7,7,0,0,6,6,13,6490,No Report
United States of America,Region of the Americas of WHO,North America,2020,29,2020/7/13,2020/7/19,6339,6339,,0,0,,11,11,0,0,12,12,23,6316,No Report
United States of America,Region of the Americas of WHO,North America,2020,30,2020/7/20,2020/7/26,6212,6212,,0,0,,7,7,0,0,4,4,11,6201,No Report
United States of America,Region of the Americas of WHO,North America,2020,31,2020/7/27,2020/8/2,6233,6233,,0,0,,3,3,0,0,5,5,8,6225,No Report
United States of America,Region of the Americas of WHO,North America,2020,32,2020/8/3,2020/8/9,6412,6412,,0,0,,7,7,0,0,4,4,11,6401,No Report
United States of America,Region of the Americas of WHO,North America,2020,33,2020/8/10,2020/8/16,6163,6163,,0,0,,4,4,0,0,5,5,9,6154,No Report
United States of America,Region of the Americas of WHO,North America,2020,34,2020/8/17,2020/8/23,6349,6349,,0,0,,6,6,0,0,8,8,14,6335,No Report
United States of America,Region of the Americas of WHO,North America,2020,35,2020/8/24,2020/8/30,8657,8657,,0,0,,7,7,0,0,13,13,20,8637,No Report
United States of America,Region of the Americas of WHO,North America,2020,36,2020/8/31,2020/9/6,8561,8561,,0,0,,8,8,0,0,6,6,14,8547,No Report
United States of America,Region of the Americas of WHO,North America,2020,37,2020/9/7,2020/9/13,6603,6603,,0,1,,7,8,0,0,6,6,14,6589,No Report
United States of America,Region of the Americas of WHO,North America,2020,38,2020/9/14,2020/9/20,7539,7539,,0,0,,15,15,0,0,18,18,33,7506,No Report
United States of America,Region of the Americas of WHO,North America,2020,39,2020/9/21,2020/9/27,9814,9814,,0,0,,14,14,0,0,10,10,24,9790,No Report
United States of America,Region of the Americas of WHO,North America,2020,40,2020/9/28,2020/10/4,18429,18429,,0,0,,20,20,0,0,19,19,39,18390,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,1,2014/12/29,2015/1/4,,1468,0,1,146,,162,309,1,0,5,6,315,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,2,2015/1/5,2015/1/11,,1635,0,6,291,,82,379,4,0,4,8,387,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,3,2015/1/12,2015/1/18,,1510,0,4,247,,82,333,2,0,8,10,343,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,4,2015/1/19,2015/1/25,,1531,0,6,272,,130,408,2,0,5,7,415,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,5,2015/1/26,2015/2/1,,1613,0,14,313,,100,427,5,0,10,15,442,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,6,2015/2/2,2015/2/8,,1545,0,9,306,,114,429,5,0,18,23,452,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,7,2015/2/9,2015/2/15,,1679,0,11,340,,107,458,12,1,30,43,501,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,8,2015/2/16,2015/2/22,,1778,0,16,280,,127,423,13,0,32,45,468,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,9,2015/2/23,2015/3/1,,1524,0,9,134,,95,238,6,0,58,64,302,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,10,2015/3/2,2015/3/8,,1262,0,12,71,,60,143,1,0,58,59,202,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,11,2015/3/9,2015/3/15,,1217,0,13,76,,35,124,5,1,73,79,203,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,12,2015/3/16,2015/3/22,,1183,0,14,46,,25,85,32,4,80,116,201,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,13,2015/3/23,2015/3/29,,1120,0,6,36,,10,52,17,0,85,102,154,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,14,2015/3/30,2015/4/5,,1085,0,9,15,,14,38,23,3,90,116,154,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,15,2015/4/6,2015/4/12,,1080,0,3,10,,11,24,11,2,101,114,138,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,16,2015/4/13,2015/4/19,,1094,0,4,5,,7,16,30,0,107,137,153,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,17,2015/4/20,2015/4/26,,867,0,1,1,,3,5,0,0,80,80,85,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,18,2015/4/27,2015/5/3,,950,0,1,1,,4,6,0,0,47,47,53,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,19,2015/5/4,2015/5/10,,907,0,0,2,,1,3,0,0,48,48,51,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,20,2015/5/11,2015/5/17,,883,0,0,1,,2,3,0,0,40,40,43,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,21,2015/5/18,2015/5/24,,882,0,0,0,,0,0,0,0,48,48,48,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,22,2015/5/25,2015/5/31,,750,0,1,2,,1,4,0,0,29,29,33,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,23,2015/6/1,2015/6/7,,810,0,1,3,,0,4,0,0,18,18,22,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,24,2015/6/8,2015/6/14,,834,0,0,2,,2,4,0,0,26,26,30,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,25,2015/6/15,2015/6/21,,752,0,0,8,,0,8,0,0,11,11,19,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,26,2015/6/22,2015/6/28,,721,0,0,4,,1,5,0,0,6,6,11,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,27,2015/6/29,2015/7/5,,694,0,0,0,,4,4,0,0,4,4,8,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,28,2015/7/6,2015/7/12,,758,0,0,0,,1,1,0,0,3,3,4,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,29,2015/7/13,2015/7/19,,613,0,0,1,,1,2,0,0,3,3,5,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,30,2015/7/20,2015/7/26,,639,0,1,1,,1,3,0,0,2,2,5,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,31,2015/7/27,2015/8/2,,663,0,1,5,,2,8,0,0,0,0,8,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,32,2015/8/3,2015/8/9,,601,0,0,2,,1,3,0,0,2,2,5,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,33,2015/8/10,2015/8/16,,593,0,0,2,,1,3,0,0,4,4,7,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,34,2015/8/17,2015/8/23,,607,0,0,2,,1,3,0,0,1,1,4,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,35,2015/8/24,2015/8/30,,650,0,0,0,,0,0,0,0,1,1,1,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,36,2015/8/31,2015/9/6,,746,0,0,0,,2,2,0,0,0,0,2,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,37,2015/9/7,2015/9/13,,770,0,1,1,,0,2,0,0,1,1,3,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,38,2015/9/14,2015/9/20,,780,0,0,0,,2,2,0,0,1,1,3,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,39,2015/9/21,2015/9/27,,684,0,0,0,,2,2,0,0,0,0,2,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,40,2015/9/28,2015/10/4,,902,0,1,4,,5,10,0,0,9,9,19,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,41,2015/10/5,2015/10/11,,962,0,6,7,,21,34,0,1,7,8,42,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,42,2015/10/12,2015/10/18,,1008,0,7,2,,7,16,0,0,9,9,25,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,43,2015/10/19,2015/10/25,,1100,0,9,2,,7,18,0,0,5,5,23,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,44,2015/10/26,2015/11/1,,1099,0,4,3,,15,22,0,0,15,15,37,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,45,2015/11/2,2015/11/8,,1199,0,7,2,,18,27,0,0,8,8,35,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,46,2015/11/9,2015/11/15,,1089,0,3,2,,8,13,0,0,13,13,26,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,47,2015/11/16,2015/11/22,,1320,0,12,2,,13,27,0,1,9,10,37,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,48,2015/11/23,2015/11/29,,1401,0,13,2,,12,27,0,1,12,13,40,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,49,2015/11/30,2015/12/6,,1347,0,13,4,,26,43,0,1,17,18,61,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,50,2015/12/7,2015/12/13,,1428,0,33,1,,19,53,0,0,11,11,64,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,51,2015/12/14,2015/12/20,,1531,0,82,3,,71,156,0,0,11,11,167,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,52,2015/12/21,2015/12/27,,1279,0,97,0,,84,181,1,0,16,17,198,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,53,2015/12/28,2016/1/3,,1465,0,139,0,,112,251,1,0,25,26,277,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2016,1,2016/1/4,2016/1/10,,1746,0,225,5,,165,395,1,1,25,27,422,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2016,2,2016/1/11,2016/1/17,,1562,0,210,3,,161,374,0,0,32,32,406,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2016,3,2016/1/18,2016/1/24,,1793,0,305,5,,218,528,0,1,27,28,556,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2016,4,2016/1/25,2016/1/31,,1958,0,387,3,,391,781,0,0,49,49,830,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2016,5,2016/2/1,2016/2/7,,2158,0,390,43,,427,860,0,2,57,59,919,,No Report
